"id","import_id","time","import_time","project_code","product_name","part_no","origin","quantity","seri_number","deleted","statistical_id"
610,"4513626302",2025-11-04 13:46:11.440,2025-11-04 13:46:11.440,ES755-A2501,"SINAMICS LINE REACTOR 660-690V 270A
SINAMICS
","1P6SL3000-0CH32-7AA0",Siemens,1,SJTA25462589004,false,
609,"4513626302",2025-11-04 13:45:56.790,2025-11-04 13:45:56.790,ES755-A2501,"SINAMICS LINE REACTOR 660-690V 270A
SINAMICS
","1P6SL3000-0CH32-7AA0",Siemens,1,SJTA25462589016,false,
608,"4513626302",2025-11-04 13:45:50.405,2025-11-04 13:45:50.405,ES755-A2501,"SINAMICS LINE REACTOR 660-690V 270A
SINAMICS
","1P6SL3000-0CH32-7AA0",Siemens,1,SJTA25462589015,false,
607,"4513626302",2025-11-04 13:45:40.202,2025-11-04 13:45:40.202,ES755-A2501,"SINAMICS LINE REACTOR 660-690V 270A
SINAMICS
","1P6SL3000-0CH32-7AA0",Siemens,1,SJTA25462589013,false,
606,"4513626302",2025-11-04 13:45:20.182,2025-11-04 13:45:20.182,ES755-A2501,"SINAMICS LINE REACTOR 660-690V 270A
SINAMICS
","1P6SL3000-0CH32-7AA0",Siemens,1,SJTA25462589010,false,
605,"4513626302",2025-11-04 13:45:10.856,2025-11-04 13:45:10.856,ES755-A2501,"SINAMICS LINE REACTOR 660-690V 270A
SINAMICS
","1P6SL3000-0CH32-7AA0",Siemens,1,SJTA25462589021,false,
604,"4513626302",2025-11-04 13:45:03.844,2025-11-04 13:45:03.844,ES755-A2501,"SINAMICS LINE REACTOR 660-690V 270A
SINAMICS
","1P6SL3000-0CH32-7AA0",Siemens,1,SJTA25462589003,false,
603,"4513626302",2025-11-04 13:44:48.877,2025-11-04 13:44:48.877,ES755-A2501,"SINAMICS LINE REACTOR 660-690V 270A
SINAMICS
","1P6SL3000-0CH32-7AA0",Siemens,1,SJTA25462589012,false,
602,"4513626302",2025-11-04 13:43:57.164,2025-11-04 13:43:57.164,ES755-A2501,"SINAMICS LINE REACTOR 660-690V 270A
SINAMICS
","1P6SL3000-0CH32-7AA0",Siemens,1,SJTA25462589018,false,
601,"4513626302",2025-11-04 13:34:15.146,2025-11-04 13:34:15.146,ES755-A2501,,"1P6SL3330-6TG41-7AA3",,1,ST-T924700326,false,
600,"4513626302",2025-11-04 13:31:58.286,2025-11-04 13:31:58.286,ES755-A2501,,"1P6SL3353-1AG41-7FA0",,1,ST-TO10100047,false,
599,"4513626302",2025-11-04 13:31:28.984,2025-11-04 13:31:28.984,ES755-A2501,,"1P6SL3353-1AG41-7FA0",,1,ST-TO10100063,false,
598,"4513626302",2025-11-04 13:31:14.847,2025-11-04 13:31:14.847,ES755-A2501,,"1P6SL3352-1AG41-0FA1",,1,ST-T929100158,false,
597,"4513626302",2025-11-04 13:30:46.266,2025-11-04 13:30:46.266,ES755-A2501,,"1P6SL3352-1AG38-1FA1",,1,ST-T923100007,false,
596,"4513626302",2025-11-04 13:29:58.897,2025-11-04 13:29:58.897,ES755-A2501,,"1P6SL3320-1TG35-8AA3",,1,ST-T919701208,false,
590,"4513626302",2025-11-04 11:30:26.311,2025-11-04 11:30:26.311,ES755-A2501,,"1P6SL3310-1GH32-6AA3",,1,ST-TO10700064,false,
589,"4513626302",2025-11-04 11:30:12.391,2025-11-04 11:30:12.391,ES755-A2501,,"1P6SL3310-1GH32-6AA3",,1,ST-TO10700063,false,
588,"4513626302",2025-11-04 11:30:06.632,2025-11-04 11:30:06.632,ES755-A2501,,"1P6SL3310-1GH32-6AA3",,1,ST-TO09700144,false,
587,"4513626302",2025-11-04 11:29:51.251,2025-11-04 11:29:51.251,ES755-A2501,,"1P6SL3310-1GH32-6AA3",,1,ST-TO09700143,false,
586,"4513626302",2025-11-04 11:29:41.554,2025-11-04 11:29:41.554,ES755-A2501,,"1P6SL3310-1GH32-6AA3",,1,ST-TO09700142,false,
585,"4513626302",2025-11-04 11:29:33.467,2025-11-04 11:29:33.467,ES755-A2501,,"1P6SL3310-1GH32-6AA3",,1,ST-TO14701895,false,
584,"4513626302",2025-11-04 11:29:23.725,2025-11-04 11:29:23.725,ES755-A2501,,"1P6SL3310-1GH32-6AA3",,1,ST-TO14701892,false,
583,"4513626302",2025-11-04 11:29:16.106,2025-11-04 11:29:16.106,ES755-A2501,,"1P6SL3310-1GH32-6AA3",,1,ST-TO09700145,false,
582,"4513626302",2025-11-04 11:28:49.134,2025-11-04 11:28:49.134,ES755-A2501,,"1P6SL3320-1TG38-1AA3",,1,ST-T919701180,false,
581,"4513626302",2025-11-04 11:28:40.381,2025-11-04 11:28:40.381,ES755-A2501,,"1P6SL3330-6TG41-7AA3",,1,ST-T925700317,false,
580,"4513626302",2025-11-04 11:27:30.113,2025-11-04 11:27:30.113,ES755-A2501,,"1P6SL3330-6TG41-7AA3",,1,ST-T925700322,false,
579,"4513626302",2025-11-04 11:27:03.667,2025-11-04 11:27:03.667,ES755-A2501,,"1P6SL3310-1GH32-6AA3",,1,ST-TO10700065,false,
578,"4513626302",2025-11-04 11:26:47.298,2025-11-04 11:26:47.298,ES755-A2501,,"1P6SL3330-6TG41-7AA3",,1,ST-T929700591,false,
577,"4513626302",2025-11-04 11:26:29.325,2025-11-04 11:26:29.325,ES755-A2501,,"1P6SL3310-1GH32-6AA3",,1,ST-TO14701897,false,
576,"4513626302",2025-11-04 11:26:11.434,2025-11-04 11:26:11.434,ES755-A2501,,"1P6SL3320-1TG41-0AA3",,1,ST-T919701195,false,
575,"4513626302",2025-11-04 11:25:56.331,2025-11-04 11:25:56.331,ES755-A2501,,"1P6SL3320-1TG38-1AA3",,1,ST-T923700487,false,
574,"4513626302",2025-11-04 11:25:40.381,2025-11-04 11:25:40.381,ES755-A2501,,"1P6SL3352-1AG41-0FA1",,1,ST-T923100121,false,
573,"4513626302",2025-11-04 11:25:36.108,2025-11-04 11:25:36.108,ES755-A2501,,"1P6SL3352-1AG41-3FA1",,1,ST-T925100100,false,
572,"4513626302",2025-11-04 11:24:26.677,2025-11-04 11:24:26.677,ES755-A2501,,"1P6SL3352-1AG41-3FA1",,1,ST-TO11100005,false,
571,"4513626302",2025-11-04 11:24:05.807,2025-11-04 11:24:05.807,ES755-A2501,,"1P6SL3352-1AG41-3FA1",,1,ST-T930100019,false,
569,"4513626302",2025-11-04 11:09:48.572,2025-11-04 11:09:48.572,ES755-A2501,,"1P6SL3353-1AG41-7FA0",,1,ST-TO10100175,false,
568,"4513626302",2025-11-04 11:09:34.507,2025-11-04 11:09:34.507,ES755-A2501,,"1P6SL3352-1AG38-1FA1",,1,ST-TO14100241,false,
567,"4513626302",2025-11-04 11:05:27.056,2025-11-04 11:05:27.056,ES755-A2501,,"1P6SL3320-1TG41-3AA3",,1,ST-TO13700426,false,
566,"4513626302",2025-11-04 11:04:50.428,2025-11-04 11:04:50.428,ES755-A2501,,"1P6SL3320-1TG38-1AA3",,1,ST-TO14701093,false,
565,"4513626302",2025-11-04 11:03:40.025,2025-11-04 11:03:40.025,ES755-A2501,,"1P6SL3320-1TG35-8AA3",,1,ST-T919701210,false,
563,"4513657245",2025-11-04 10:29:50.786,2025-11-04 10:29:50.786,ES755-A2501,,AC2510081119|3KF43402LF11,,1,AC2510081119|3KF43402LF11,false,
562,"4513657245",2025-11-04 10:28:42.807,2025-11-04 10:28:42.807,ES755-A2501,,AC2510081139|3KF43402LF11,,1,AC2510081139|3KF43402LF11,false,
561,"4513657245",2025-11-04 10:27:16.218,2025-11-04 10:27:16.218,ES755-A2501,,AC2510081123|3KF43402LF11,,1,AC2510081123|3KF43402LF11,false,
560,"4513657245",2025-11-04 10:25:55.291,2025-11-04 10:25:55.291,ES755-A2501,,AC2510081130|3KF43402LF11,,1,AC2510081130|3KF43402LF11,false,
559,"4513657245",2025-11-04 10:24:26.604,2025-11-04 10:24:26.604,ES755-A2501,,AC2510081121|3KF43402LF11,,1,AC2510081121|3KF43402LF11,false,
558,"4513657245",2025-11-04 10:23:16.461,2025-11-04 10:23:16.461,ES755-A2501,,AC2510081126|3KF43402LF11,,1,AC2510081126|3KF43402LF11,false,
557,"4513657245",2025-11-04 10:22:10.524,2025-11-04 10:22:10.524,ES755-A2501,,AC2510081136|3KF43402LF11,,1,AC2510081136|3KF43402LF11,false,
556,"4513657245",2025-11-04 10:20:54.453,2025-11-04 10:20:54.453,ES755-A2501,,AC2510081125|3KF43402LF11,,1,AC2510081125|3KF43402LF11,false,
555,"4513657245",2025-11-04 10:19:36.357,2025-11-04 10:19:36.357,ES755-A2501,,AC2510081140|3KF43402LF11,,1,AC2510081140|3KF43402LF11,false,
554,"4513657245",2025-11-04 10:18:25.818,2025-11-04 10:18:25.818,ES755-A2501,,AC2510081132|3KF43402LF11,,1,AC2510081132|3KF43402LF11,false,
553,"4513657245",2025-11-04 10:16:53.257,2025-11-04 10:16:53.257,ES755-A2501,,AC2510081128|3KF43402LF11,,1,AC2510081128|3KF43402LF11,false,
552,"4513657245",2025-11-04 10:15:42.493,2025-11-04 10:15:42.493,ES755-A2501,,AC2510081137|3KF43402LF11,,1,AC2510081137|3KF43402LF11,false,
551,"4513657245",2025-11-04 10:14:37.965,2025-11-04 10:14:37.965,ES755-A2501,,AC2510081134|3KF43402LF11,,1,AC2510081134|3KF43402LF11,false,
550,"4513657245",2025-11-04 10:13:34.555,2025-11-04 10:13:34.555,ES755-A2501,,AC2510081127|3KF43402LF11,,1,AC2510081127|3KF43402LF11,false,
549,"4513657245",2025-11-04 10:12:30.549,2025-11-04 10:12:30.549,ES755-A2501,,AC2510081122|3KF43402LF11,,1,AC2510081122|3KF43402LF11,false,
